GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	S_250754_Probe_4A_50_S24	INDIGO.NoDrug.Control
MTS1310	MTS1310	small intergenic RNA	hypoxia_late:17%; ctl_exponential:11%	-0.61	0.0488866586903325	1001.68	856	1509	1499	779	553	77.22	102.56
cmaA2	Rv0503c	cyclopropane mycolic acid synthase	acidic_tyloxopol:12%	-0.8662	0.470547920185181	968.17	511	494	457	3110	1129	214.77	517.46
Rv1026	Rv1026	hypothetical protein	hypoxia_late:18%	-0.971	0.575730279400824	936.87	704	410	482	2651	1077	30.74	85.82
MT1172.1	MT1172.1	hypothetical protein	PBS_RIF_DDmtb:10%	-0.6334	0.0714691061081149	996.13	946	1367	1495	718	606	47.34	65.33
rfbE	Rv3781	O-antigen/lipopolysaccharide ABC transporter ATP-binding protein RfbE	INDIGO_exponential:9%	-0.7523	0.323782165108809	971.8	1037	964	915	614	1413	121.06	208.45
vapB25	Rv0277A	hypothetical protein	tyloxopol:11%; butyrate_plus_glucose:10%	-0.5908	0.0131758077998256	1019.31	610	1692	1577	746	717	1214.29	1461.23
MT2514	MT2514	hypothetical protein	PBS_RIF_DDmtb:16%	-0.614	0.0220907188403963	1017.41	1201	1883	1744	355	434	39.93	45.6
Rv2464c	Rv2464c	DNA glycosylase	PBS_RIF_DDmtb:9%	-0.8639	0.470942530080008	937.19	633	543	428	2753	989	57.77	135.92
vapC14	Rv1953	ribonuclease VapC14	acidic_tyloxopol:11%	-0.6233	0.0641548963873927	976.15	798	1354	1385	874	595	74.8	103.78
trpG	Rv0013	anthranilate synthase component II	INDIGO_exponential:8%	-0.8326	0.383737632565443	963.37	506	658	556	2804	931	147.06	315.31
lprM	Rv1970	Mce family lipoprotein LprM	hypoxia_late:31%; ctl_stationary:12%	-1.1362	0.791233924151201	856.09	1371	322	377	1147	1447	0.81	6.73
mgtA	Rv0557	GDP-mannose-dependent alpha-mannosyltransferase	zinc_limitation:8%	-0.8758	0.501818064719448	925.48	1054	636	627	873	1587	58.46	125.58
Rv1577c	Rv1577c	phage prohead protease	microaerophilic:25%; cholesterol:13%	-0.7987	0.3044494638688	998.47	717	800	945	1956	782	43.57	83.6
Rv2951c	Rv2951c	phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase	INDIGO_exponential:10%	-0.9264	0.524258349192101	927.38	577	377	320	3118	1232	127.33	352.01
Rv1501	Rv1501	hypothetical protein	human_sputum:11%	-0.857	0.449399643288729	941.12	567	539	449	2881	992	90.05	209.7
Rv1624c	Rv1624c	membrane protein	acidic_tyloxopol:10%	-0.804	0.332759837304235	980.37	515	743	835	2446	798	107.78	211.26
Rv2998	Rv2998	hypothetical protein	hypoxia_late:18%	-0.7739	0.304526110380388	973.23	855	879	1028	1326	819	31.97	59.65
Rv1434	Rv1434	hypothetical protein	cholesterol:15%; high_iron:11%	-0.6198	0.072046127915455	947.36	820	2098	2130	315	242	184.23	185.4
murI	Rv1338	glutamate racemase	high_iron:9%	-0.768	0.308266512035197	957.89	1026	951	927	580	1395	113.53	197.07
Rv0567	Rv0567	methyltransferase/methylase	zinc_limitation:23%	-0.9379	0.535335214347648	912.17	655	398	365	2846	1090	45.68	124.08
vapC36	Rv1982c	ribonuclease VapC36	human_sputum:14%	-0.7168	0.201863075337353	961.07	611	1037	944	1738	659	98.11	160.73
Rv2186c	Rv2186c	hypothetical protein	human_sputum:13%	-0.6858	0.143443782523659	947.36	777	1087	1038	1183	699	57.58	91.57
Rv0221	Rv0221	diacyglycerol O-acyltransferase	high_iron:9%	-1.0234	0.586618362764714	916.83	654	297	319	3012	1285	62.93	203.63
argW	Rvnt28	tRNA-Arg	hypoxia_late:32%; hypoxia_hypoxic:18%	-0.6889	0.0802424916116657	982.94	1355	1487	1554	354	536	16.42	21.93
Rv3126c	Rv3126c	hypothetical protein	hypoxia_late:16%; ctl_stationary:15%; hypoxia_hypoxic:15%	-0.7315	0.218485136183206	953.82	1111	1007	1124	717	844	17.22	29.39
MT3767.1	MT3767.1	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:11%	-0.7246	0.171649052464663	963.38	966	1045	1224	877	739	28.47	47.56
Rv1490	Rv1490	membrane protein	hypoxia_late:13%; human_sputum:10%	-1.1118	0.62570005030744	902.52	741	276	415	2668	1180	20.72	72.28
uspB	Rv2317	sugar ABC transporter permease UspB	hypoxia_late:37%; ctl_stationary:16%; PBS_RIF_DDmtb:11%	-1.1901	0.699220002202928	868.8	1300	295	759	906	1332	0.99	7.39
hsdS.1	Rv2755c	Type I restriction/modification system specificity determinant hsdS_1	hypoxia_late:42%	-0.6878	0.0900978286151211	957.26	999	1273	1297	673	648	33.45	49.98
wbbL2	Rv1525	rhamnosyl transferase WbbL	microaerophilic:14%; hypoxia_late:13%	-0.9025	0.488900318204488	905.12	712	511	399	2481	983	31.34	76.54
Rv0434	Rv0434	hypothetical protein	human_sputum:11%	-0.8493	0.353900795251529	936.13	510	664	632	2565	832	103.33	219.08
Rv0759c	Rv0759c	hypothetical protein	acidic_tyloxopol:11%	-0.6384	0.0453645875300827	934.6	623	1322	1318	982	571	158.78	222.15
MT2554.2	MT2554.2	hypothetical protein	hypoxia_late:12%; acidic_tyloxopol:10%	-0.7068	0.134687734261789	936.51	989	1147	1074	805	705	30.61	48.75
sugB	Rv1237	sugar ABC transporter permease SugB	PBS_RIF_DDmtb:11%	-0.9412	0.473418260800023	920.11	602	472	561	2584	954	43.99	110.7
drrA	Rv2936	daunorubicin ABC transporter ATP-binding protein DrrA	hypoxia_rar:12%	-0.837	0.368897317381288	918.58	974	759	682	743	1553	235.1	461.03
Rv2435c	Rv2435c	cyclase	hypoxia_late:20%; human_sputum:12%	-1.2523	0.714205410371739	861.38	930	181	175	2677	1431	10	48.92
Rv1597	Rv1597	hypothetical protein	low_iron:9%	-0.7528	0.242916917290088	927.6	983	1001	904	503	1354	161.9	269.26
ephF	Rv0134	epoxide hydrolase EphF	INDIGO_exponential:9%	-0.7996	0.325154050507821	920.9	985	850	736	665	1465	173.72	319.54
MT0762.1	MT0762.1	hypothetical protein	hypoxia_late:48%; PBS_RIF_DDmtb:11%	-1.1565	0.666279803200514	860.09	1373	356	922	753	1083	0.7	5.94
Rv3454	Rv3454	conserved membrane protein	PBS_RIF_DDmtb:33%	-0.9686	0.5258288255645	868.95	1053	521	501	881	1604	38.97	94.55
mazF1	Rv0456A	toxin MazF1	ctl_stationary:16%; hypoxia_late:15%; INDIGO_exponential:10%	-0.6731	0.0571990024484898	931.22	886	1288	1328	685	591	47.33	67.76
Rv2598	Rv2598	hypothetical protein	hypoxia_late:28%; PBS_RIF_DDmtb:11%	-0.8778	0.376815677527452	920.87	1032	687	878	1066	968	12.72	28.63
Rv0364	Rv0364	transmembrane protein	zinc_limitation:12%; tyloxopol:11%	-0.8663	0.347594987194341	931.41	469	616	607	2678	884	154.61	335.15
mmpS2	Rv0506	membrane protein MmpS2	tyloxopol:10%	-0.7509	0.144030447504447	940.12	532	980	848	1930	670	137.58	233.84
Rv2952	Rv2952	phthiotriol/phenolphthiotriol dimycocerosates methyltransferase	tyloxopol:13%; ctl_exponential:10%	-0.7858	0.255316451770451	920.02	960	935	865	539	1404	214.2	373.88
vapC12	Rv1720c	ribonuclease VapC12	hypoxia_late:21%; ctl_stationary:10%	-0.7945	0.22761906956419	934.49	1008	888	1101	863	826	19.27	36.09
rplB	Rv0704	50S ribosomal protein L2	butyrate_plus_glucose:10%	-0.8015	0.269883127314027	919.08	904	897	803	568	1552	726.72	1294.96
MT2370.1	MT2370.1	hypothetical protein	hypoxia_late:42%; ctl_stationary:14%	-0.9154	0.460003311353439	884.43	1398	651	1040	517	949	3.06	8.56
Rv0108c	Rv0108c	hypothetical protein	ctl_exponential:20%	-0.6069	0.00386931232067798	992.33	645	1862	1791	505	584	1197.75	1344.49
cyp132	Rv1394c	cytochrome P450 Cyp132	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	-1.0101	0.579110127266863	847.33	1087	459	413	914	1648	26.83	70.31
Rv3725	Rv3725	oxidoreductase	tyloxopol:9%	-0.9368	0.440754948831688	900.03	494	435	402	2997	1032	119.35	306.73
Rv2811	Rv2811	hypothetical protein	hypoxia_late:57%	-1.152	0.601365129609776	868.77	1229	354	889	864	1176	2.56	11.23
MT1936	MT1936	hypothetical protein	butyrate_plus_glucose:9%	-0.8357	0.332319318036859	900.45	962	779	696	680	1494	178	343.26
Rv0075	Rv0075	aminotransferase	INDIGO_exponential:10%	-0.9898	0.500348376871744	873.89	590	352	241	3036	1165	69.73	205.16
dctA	Rv2443	C4-dicarboxylate-transport transmembrane protein DctA	nutrient_limitation:12%; PBS_RIF_DDmtb:11%	-1.1013	0.555114710864468	873.59	588	264	265	3069	1268	73.3	255.82
Rv2019	Rv2019	hypothetical protein	hypoxia_fatty_acids:11%; acidic_tyloxopol:10%	-0.7424	0.15307289024389	908.55	707	1009	931	1263	692	60.54	103.06
Rv2509	Rv2509	short-chain type dehydrogenase/reductase	tyloxopol:10%	-0.8056	0.250149761754961	907.17	965	924	883	513	1352	142.55	252.75
gyrB	Rv0005	DNA gyrase subunit B	INDIGO_exponential:10%	-1.1597	0.682016480983208	791.83	1001	286	203	1178	1899	416.29	1351.71
trmD	Rv2906c	tRNA (guanine-N1)-methyltransferase	hypoxia_late:9%	-0.9119	0.365431552132339	907.15	514	554	676	2463	827	69.82	158.84
frr	Rv2882c	ribosome recycling factor	hypoxia_rar:9%	-0.8353	0.244904235058488	923.22	438	766	677	2392	806	247.58	483.07
mctB	Rv1698	copper transporter MctB	INDIGO_exponential:12%; high_iron:11%; tyloxopol:10%	-0.9928	0.442151498722767	910.69	460	394	554	2949	1008	129.29	347.88
atpF	Rv1306	ATP synthase subunit B	ctl_exponential:13%; INDIGO_exponential:13%	-0.8363	0.214410169689411	935.8	382	810	662	2249	1011	1118.5	2099.11
Rv0371c	Rv0371c	hypothetical protein	hypoxia_late:53%; ctl_stationary:12%	-1.2655	0.745981967980282	783.57	1372	254	443	943	1241	0	4.82
Rv1882c	Rv1882c	short-chain type dehydrogenase/reductase	INDIGO_exponential:11%	-0.9232	0.40162079608053	887.32	493	488	407	2854	964	104.26	255.73
arfB	Rv0900	membrane protein	ctl_stationary:7%	-0.6216	0.00546716459950052	953.74	857	1960	1994	358	299	115.28	123.66
MTS2458	MTS2458	small intergenic RNA	zinc_limitation:11%	-0.8227	0.211306244662193	925.11	443	831	724	2259	771	254.14	478.47
lppJ	Rv2080	lipoprotein LppJ	acidic_tyloxopol:8%	-0.8361	0.251585761820854	917.89	445	761	650	2405	799	223.24	438.42
Rv0910	Rv0910	toxin	acidic:10%	-0.7585	0.102396532293044	924.82	472	988	895	1839	681	243.32	408.15
Rv0543c	Rv0543c	hypothetical protein	high_iron:9%	-0.656	0.0183471084219381	915.05	537	1413	1380	839	594	447.87	604.25
Rv0743c	Rv0743c	hypothetical protein	hypoxia_late:12%	-0.8774	0.270060172720548	922.06	634	685	823	1941	769	43.93	91.89
Rv3335c	Rv3335c	integral membrane protein	hypoxia_late:13%	-0.9523	0.434202257045844	879.04	545	455	386	2792	966	65.39	168.39
Rv2670c	Rv2670c	hypothetical protein	PBS_RIF_DDmtb:16%; hypoxia_late:15%; ctl_stationary:12%; human_sputum:11%	-1.1733	0.600877603206753	845.72	894	279	389	2115	1095	8.71	32.48
Rv1101c	Rv1101c	hypothetical protein	tyloxopol:9%	-1.0393	0.492156136358786	875.63	526	327	360	3021	1089	75.23	227.34
ctaC	Rv2200c	cytochrome C oxidase subunit II	INDIGO_exponential:14%; tyloxopol:11%	-1.01	0.461327911728459	885.31	456	361	283	3158	1253	398.54	1140.77
Rv2361c	Rv2361c	decaprenyl diphosphate synthase	zinc_limitation:7%	-0.8492	0.305398946682259	885.08	992	801	768	574	1390	80.55	154.01
Rv2273	Rv2273	transmembrane protein	hypoxia_late:15%	-0.7357	0.0835530924766208	906.31	838	1079	1294	766	629	39.86	63.48
pstS2	Rv0932c	phosphate ABC transporter substrate-binding lipoprotein PstS	zinc_limitation:9%	-0.9004	0.392885331298957	861.87	928	639	455	819	1689	694.37	1483.39
fabD	Rv2243	malonyl CoA-acyl carrier protein transacylase	low_iron:10%	-0.9492	0.402444652395072	879.84	454	436	352	3022	1049	195.15	498.53
Rv3351c	Rv3351c	hypothetical protein	hypoxia_late:31%; human_sputum:16%; ctl_stationary:12%	-1.0883	0.512097930113576	862.24	937	360	839	1271	1064	8.62	27.32
ilvN	Rv3002c	acetolactate synthase small subunit	hypoxia_rar:11%	-0.821	0.191155059773229	907.72	465	821	766	2122	712	161.23	301.27
pks6	Rv0405	membrane bound polyketide synthase	hypoxia_late:23%; ctl_stationary:11%	-1.5983	0.871679049231526	763.75	1179	121	132	1356	1983	14.7	93.7
gca	Rv0112	GDP-mannose 4,6-dehydratase	hypoxia_rar:11%	-0.8712	0.338567362155155	868.74	988	735	685	623	1421	71.67	143.28
MT1305.1	MT1305.1	hypothetical protein	ctl_stationary:22%; hypoxia_late:17%; PBS_RIF_DDmtb:12%	-0.7949	0.145690480976447	903.05	1031	978	1200	631	735	18.94	33.32
mazF2	Rv0659c	toxin MazF2	human_sputum:11%	-0.672	0.0185238866445509	902.46	509	1388	1255	850	666	694.54	953.5
prcB	Rv2110c	proteasome subunit beta	INDIGO_exponential:8%	-0.8348	0.253335971823959	873.52	890	833	721	567	1476	374.97	695.42
phoT	Rv0820	phosphate ABC transporter ATP-binding protein PhoT	nutrient_limitation:12%	-0.9353	0.356061002851514	877.66	439	509	445	2801	936	160.22	383.77
Rv3789	Rv3789	GtrA family protein	hypoxia_late:10%	-0.7256	0.0708681049813674	881.15	677	1088	1165	938	608	68.75	109.03
MTS0858	MTS0858	putative small regulatory RNA	hypoxia_late:16%; ctl_stationary:11%	-0.7528	0.0457942675618383	916.92	1254	1465	1409	338	475	19.04	26.06
Rv3726	Rv3726	dehydrogenase	butyrate_plus_glucose:8%	-1.1189	0.502767862530583	864.51	531	292	437	2880	1044	50.13	164.05
vapB9	Rv0959A	antitoxin VapB9	hypoxia_fatty_acids:11%	-0.6386	0.0079852289652772	907.11	726	1644	1637	516	397	132.74	161.99
vapB26	Rv0581	antitoxin VapB26	ctl_exponential:12%; ctl_stationary:11%	-0.6507	0.0115062344844377	895.65	806	1591	1513	488	415	86.64	107.98
narS	Rv0845	sensor histidine kinase NarS	hypoxia_late:13%	-1.0343	0.50723924495377	825.47	1058	465	528	740	1551	23.11	59.89
lldD2	Rv1872c	L-lactate dehydrogenase	butyrate:10%	-0.973	0.459597048290922	832.81	891	525	367	860	1853	2386.36	5594.58
Rv3642c	Rv3642c	hypothetical protein	human_sputum:17%	-0.6284	0.00246152281316718	942.63	659	1876	1844	449	416	593.54	660.85
alkB	Rv3252c	transmembrane alkane 1-monooxygenase AlkB	nutrient_limitation:47%; PBS_RIF_DDmtb:21%	-0.9552	0.432621280829804	843.67	912	529	453	882	1685	405.69	940.13
Rv1500	Rv1500	glycosyltransferase	hypoxia_late:13%; human_sputum:12%	-0.938	0.363548766756622	862.05	971	642	756	632	1419	59.72	129.37
Rv1233c	Rv1233c	hypothetical protein	tyloxopol:16%; human_sputum:13%	-0.8774	0.25126994903787	892.99	410	690	603	2433	842	292.36	601.79
Rv1776c	Rv1776c	transcriptional regulator	hypoxia_late:9%	-0.8996	0.263698543442275	897.53	613	677	729	1966	766	45.41	97.34
Rv3114	Rv3114	hypothetical protein	hypoxia_late:22%; ctl_stationary:18%	-1.0169	0.419005046283811	867.17	1068	502	893	921	1019	7.37	20.81
MT0910.1	MT0910.1	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:27%	-1.2926	0.704805919288751	740.38	1360	249	400	932	1080	0	4.87
Rv2177c	Rv2177c	transposase	hypoxia_late:20%	-0.9935	0.372731996720389	866.32	768	490	647	1798	869	19.62	49.95
cyp137	Rv3685c	cytochrome P450 Cyp137	PBS_RIF_DDmtb:11%	-1.129	0.505769002666107	829.75	559	256	217	3047	1187	65.79	230.95
Rv1200	Rv1200	integral membrane transport protein	INDIGO_exponential:10%	-1.112	0.482363505982628	838.65	505	282	276	3070	1123	82.2	272.62
Rv1487	Rv1487	hypothetical protein	zinc_limitation:10%; acidic:10%	-0.7782	0.106693988237642	856.94	485	965	985	1351	632	158.3	270.75
Rv1929c	Rv1929c	hypothetical protein	ctl_stationary:10%	-0.9322	0.307116472999626	860.05	500	577	591	2319	772	66.48	150.37
MT0032	MT0032	hypothetical protein	zinc_limitation:10%	-0.946	0.308926125610276	866.83	621	579	617	2028	804	37.49	86.69
MTS0194	MTS0194	small intergenic RNA	low_iron:21%	-0.711	0.0259734834981382	857.11	522	1215	1253	891	549	222.35	328.18
Rv0067c	Rv0067c	transcriptional regulator	hypoxia_late:12%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	-0.9459	0.325828764441347	859.69	880	564	829	1190	894	16.35	39.04
Rv3611	Rv3611	hypothetical arginine and proline rich protein	PBS_RIF_DDmtb:22%; nutrient_limitation:11%	-0.9253	0.318538850470146	841.83	541	575	446	2325	812	52.08	118.85
moaE1	Rv3119	molybdopterin synthase catalytic subunit 1	acidic:12%	-0.7907	0.117059304870402	844.17	474	942	913	1388	642	169.99	295.09
fadD5	Rv0166	fatty-acid--CoA ligase FadD5	acidic:12%; acidic_tyloxopol:12%; butyrate:11%; butyrate_plus_glucose:10%	-1.126	0.52182837105137	784.95	924	345	337	990	1705	143.58	423.78
Rv3233c	Rv3233c	conserved hypothetical protein	high_iron:9%	-0.8998	0.25404883409039	853.89	480	666	567	2255	734	85.39	181.77
vapB28	Rv0608	antitoxin VapB28	INDIGO_exponential:10%	-0.6635	0.00581398201641545	877.04	580	1564	1529	596	438	283.85	357.56
sseB	Rv2291	thiosulfate sulfurtransferase SseB	INDIGO_exponential:10%	-0.9854	0.358873170321772	841.75	431	440	353	2863	963	151.66	390.56
Rv3851	Rv3851	membrane protein	hypoxia_late:13%; PBS_RIF_DDmtb:11%	-0.7698	0.0484984561291954	858.03	826	1105	1325	595	561	37.86	59.38
desA2	Rv1094	acyl-ACP desaturase DesA	INDIGO_exponential:12%	-1.0238	0.369475795552925	851.86	329	427	289	2862	1342	1723.44	4442.44
cydB	Rv1622c	cytochrome D ubiquinol oxidase subunit II CydB	hypoxia_fatty_acids:10%	-1.0612	0.443639835033096	819	535	346	291	2790	991	50.51	150.7
fadE20	Rv2724c	acyl-CoA dehydrogenase FadE20	nutrient_limitation:10%	-0.98	0.366014161225114	824.67	911	544	618	712	1485	97.85	226.59
MT1759	MT1759	hypothetical protein	hypoxia_late:28%	-0.7894	0.0224624827041919	891.11	1144	1476	1531	300	423	23.99	32.93
Rv1825	Rv1825	hypothetical protein	INDIGO_exponential:9%	-0.8839	0.252145527386646	836.56	935	782	728	502	1346	90.42	176.26
mpr18	Rvnc0018	fragment of putative small regulatory RNA	hypoxia_late:19%; zinc_limitation:13%	-0.8571	0.119133436329355	871.15	1246	1015	1388	368	575	10.09	17.55
Rv2129c	Rv2129c	oxidoreductase	high_iron:9%	-0.8716	0.23623836902886	830.81	908	792	670	524	1374	152.07	292.4
Rv3767c	Rv3767c	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; butyrate_plus_glucose:11%	-0.9081	0.261615693848093	830.1	878	708	738	548	1387	128.96	260.9
Rv1211	Rv1211	hypothetical protein	acidic:10%; INDIGO_exponential:10%	-0.688	0.00347674079787822	905.28	530	1624	1576	492	637	1475.59	1803.82
MT1909	MT1909	hypothetical protein	hypoxia_late:33%	-0.7264	0.00758964982447845	896.71	961	1744	1908	270	284	52.1	60.17
Rv0988	Rv0988	hypothetical protein	hypoxia_late:13%; PBS_RIF_DDmtb:11%; human_sputum:10%	-1.1592	0.469554548099895	815.59	533	285	354	2746	999	40.22	135.48
Rv3916c	Rv3916c	hypothetical protein	microaerophilic:18%; ctl_stationary:11%	-0.9563	0.307250205524443	834.68	424	517	420	2627	863	144.56	343.84
nrdH	Rv3053c	glutaredoxin electron transport protein NrdH	low_iron:9%	-0.7066	0.00433642243571708	897.65	504	1560	1458	520	722	1864.93	2357.39
Rv2879c	Rv2879c	conserved hypothetical protein	PBS_RIF_DDmtb:12%	-0.8837	0.201721170193806	839.74	390	703	497	2314	797	277.69	563.88
MT3919	MT3919	hypothetical protein	hypoxia_late:12%	-0.7208	0.00614766594810873	880.98	845	1703	1877	317	287	70.45	82.92
MT0608	MT0608	hypothetical protein	microaerophilic:8%	-0.8546	0.133379122166182	837.49	420	830	765	1745	674	220.04	411.2
Rv1775	Rv1775	hypothetical protein	hypoxia_late:9%	-1.0347	0.373210446302457	808.37	495	409	432	2468	854	50.05	133.96
mpt63	Rv1926c	immunogenic protein Mpt63	tyloxopol:12%	-0.8558	0.0970384685530265	849.26	377	832	715	1812	792	514.26	952.5
MT2924	MT2924	hypothetical protein	hypoxia_late:18%	-0.9227	0.227531305351909	824.43	782	657	732	1193	805	24.74	55.01
MT2326	MT2326	hypothetical protein	hypoxia_late:11%	-0.7451	0.00594364481823606	888.23	1000	1834	1917	228	246	51.84	58.72
dnaN	Rv0002	DNA polymerase III subunit beta	acidic:9%	-0.9991	0.363196299408726	788.22	910	523	423	765	1530	108.76	260.24
rplK	Rv0640	50S ribosomal protein L11	zinc_limitation:10%	-0.8089	0.060363469592534	819.71	400	961	812	1250	801	694.68	1190.06
MT1560.1	MT1560.1	hypothetical protein	acidic_tyloxopol:10%	-0.8087	0.0676973046652281	805.55	556	930	949	1044	611	77.18	135.9
Rv3902c	Rv3902c	hypothetical protein	hypoxia_late:17%; ctl_stationary:15%	-0.892	0.210529377759734	805.53	694	675	693	1283	753	33.77	71.1
MT3573.16	MT3573.16	hypothetical protein	hypoxia_late:49%	-0.9142	0.237065219395014	797.06	1294	827	767	430	784	6.3	13.65
rplW	Rv0703	50S ribosomal protein L23	hypoxia_rar:10%	-0.7386	0.0101857501201238	852.72	466	1296	1272	721	671	852.18	1211.38
Rv2737A	Rv2737A	conserved cysteine rich protein	hypoxia_late:14%	-0.7262	0.00896349848412473	849.53	835	1588	1518	366	357	63.73	80.53
Rv0463	Rv0463	membrane protein	low_iron:15%; acidic_tyloxopol:11%	-0.7115	0.0101968011617682	821.62	519	1342	1236	713	486	266.16	371.51
Rv1774	Rv1774	oxidoreductase	hypoxia_late:14%; PBS_RIF_DDmtb:10%	-1.1307	0.463558863999648	766.2	1003	393	508	658	1499	21.18	60.54
kgtP	Rv3476c	dicarboxylic acid transport membrane protein kgtP	hypoxia_late:14%	-1.3194	0.525710288560166	773.35	662	213	296	2435	1035	14.91	63.17
MT4041.2	MT4041.2	hypothetical protein	hypoxia_hypoxic:17%; hypoxia_rar:15%; human_sputum:14%	-0.6817	0.0035835608102508	848.31	586	1636	1556	481	384	313.63	385.41
Rv0176	Rv0176	Mce associated transmembrane protein	high_iron:11%	-0.9281	0.241406705563043	794.56	841	691	579	564	1432	228.84	473.73
Rv3113	Rv3113	phosphatase	hypoxia_late:35%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	-1.1571	0.48484455969343	760.8	1154	357	451	919	1122	3.72	14.65
aao	Rv1905c	D-amino acid oxidase	acidic_tyloxopol:13%; PBS_RIF_DDmtb:12%	-0.9461	0.255359864812505	795.82	881	674	649	529	1364	96.96	204.65
PPE13	Rv0878c	PPE family protein PPE13	hypoxia_late:11%	-1.1062	0.418483540930874	774.1	929	395	600	670	1473	32.69	89.09
Rv3098c	Rv3098c	hypothetical protein	ctl_stationary:13%; PBS_RIF_DDmtb:11%	-0.8302	0.0776032648773135	788.84	492	867	845	1208	624	101.29	184.29
Rv2662	Rv2662	hypothetical protein	ctl_stationary:25%; PBS_RIF_DDmtb:14%	-0.8079	0.0369752371478855	799.26	818	1071	1194	511	523	35.89	57.53
Rv1087A	Rv1087A	conserved hypothetical protein	hypoxia_late:19%; ctl_stationary:17%; human_sputum:14%	-0.9226	0.175559755147068	802.25	1043	738	957	563	756	12.15	25.57
Rv3204	Rv3204	DNA-methyltransferase	PBS_RIF_DDmtb:9%	-0.747	0.0131732930223626	808.44	529	1214	1346	687	459	145.11	212.39
atpC	Rv1311	ATP synthase subunit epsilon	ctl_exponential:15%; INDIGO_exponential:12%	-0.7742	0.0224418297938513	797.31	433	1100	960	917	673	535.28	845.16
Rv1312	Rv1312	hypothetical protein	ctl_exponential:14%; INDIGO_exponential:11%	-0.8276	0.061920825682228	788.62	417	913	800	1261	675	309.69	548.03
rpfC	Rv1884c	resuscitation-promoting factor RpfC	tyloxopol:15%; high_iron:14%; butyrate_plus_glucose:11%	-0.9197	0.131486456012934	819.61	348	715	601	2000	813	473.21	957.69
sdhC	Rv3316	succinate dehydrogenase cytochrome B-556 subunit	hypoxia_late:10%	-0.7884	0.0313269658003327	787.7	619	1048	1063	756	528	67.51	109.16
bcpB	Rv1608c	peroxiredoxin	tyloxopol:11%	-0.8452	0.0949612981851869	787.46	478	841	809	1289	630	109.07	202.94
Rv3098A	Rv3098A	PemK-like protein	ctl_stationary:12%	-0.7499	0.0151656151784899	796.85	517	1199	1154	772	485	169.49	254.02
Rv1489	Rv1489	hypothetical protein	zinc_limitation:10%	-0.7664	0.0210113585987047	792.66	461	1111	1050	879	572	259.4	405.69
MT3449.1	MT3449.1	hypothetical protein	hypoxia_late:48%; ctl_stationary:14%	-1.0226	0.336417222148724	779.44	1302	567	938	447	780	3.45	10.06
mmpL9	Rv2339	transmembrane transport protein MmpL9	human_sputum:9%	-1.5111	0.623511607070522	703.77	970	149	221	1067	1744	27.28	135.58
MT1288	MT1288	hypothetical protein	ctl_stationary:9%	-0.774	0.00967809440811836	840.4	887	1514	1605	324	331	47.97	62.25
Rv2401A	Rv2401A	membrane protein	PBS_RIF_DDmtb:11%; ctl_stationary:10%	-0.7562	0.0083995627612423	825.63	724	1438	1567	405	366	72.9	97.19
Rv1892	Rv1892	membrane protein	acidic_tyloxopol:14%; butyrate:10%	-0.7627	0.0159178923845657	788.44	542	1197	1156	708	480	120.86	183.07
proV	Rv3758c	glycine betaine/carnitine/choline/L-proline ABC transporter ATP-binding protein ProV	high_iron:10%	-1.0329	0.309556238001508	782.97	875	519	654	603	1400	71.75	171.91
Rv3802c	Rv3802c	membrane protein	zinc_limitation:10%	-1.119	0.364401667061223	775.54	437	328	281	2797	935	80.33	244.59
Rv1947	Rv1947	hypothetical protein	hypoxia_late:10%	-0.8439	0.0645944745654995	780.54	648	876	932	852	621	47.78	87.03
Rv1888c	Rv1888c	transmembrane protein	INDIGO_exponential:8%	-0.9457	0.139437422713195	795.9	370	656	630	1999	697	184.36	390.22
Rv1904	Rv1904	hypothetical protein	acidic_tyloxopol:15%; acidic:11%	-0.8354	0.0445465388004271	778.83	405	926	833	1159	680	359.75	633.58
parE1	Rv1959c	toxin ParE1	hypoxia_fatty_acids:24%; ctl_stationary:11%	-0.7708	0.0145006370840459	780.53	578	1205	1155	648	462	98.17	147.93
PPE7	Rv0354c	PPE family protein PPE7	ctl_stationary:13%; microaerophilic:10%	-0.8223	0.0454859883622313	763.83	457	931	814	1107	600	154.48	271.14
MT1414.1	MT1414.1	hypothetical protein	acidic:26%; ctl_exponential:10%	-0.7182	0.00195817839681145	849.86	714	1891	1843	298	236	171.74	190.8
hemK	Rv1300	release factor glutamine methyltransferase	PBS_RIF_DDmtb:14%	-0.9561	0.217938908571307	764.4	804	647	596	514	1396	197.09	415.89
MT0859	MT0859	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:20%; ctl_stationary:17%	-1.4469	0.617684218044559	652.19	1297	204	250	823	1082	0	6.06
