GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	sputum_250754_W0	sputum_503557_W0
Rv1106c	Rv1106c	3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase	hypoxia_rar:8%	-0.5364	0.497441332014707	628.72	670	860	788	288	631	116.53	168.08
disA	Rv3586	DNA integrity scanning protein DisA	zinc_limitation:13%; tyloxopol:10%	-0.6053	0.466340235438903	687.23	233	385	453	3727	192	94.64	176.39
Rv3844	Rv3844	transposase	hypoxia_late:13%; ctl_stationary:10%	-0.6598	0.5251171719126	688.18	243	317	410	3289	407	34.25	68.42
Rv1637c	Rv1637c	hypothetical protein	hypoxia_rar:8%	-0.5241	0.4822011465399	620.51	654	855	755	289	638	214.27	303.42
PE21	Rv2099c	PE family protein	hypoxia_late:32%; microaerophilic:13%; ctl_stationary:12%	-1.5739	0.891123491326419	540.56	1275	54	37	1135	1117	0	8.94
Rv0369c	Rv0369c	membrane oxidoreductase	hypoxia_late:26%; ctl_stationary:10%; human_sputum:10%	-1.0476	0.942695232232359	422.65	289	163	231	1739	260	16.7	48.09
Rv0566c	Rv0566c	hypothetical protein	hypoxia_late:11%; ctl_exponential:10%	-0.6485	0.52487403419524	674.42	277	350	375	3534	246	87.06	169.11
PE_PGRS62	Rv3812	PE-PGRS family protein PE_PGRS62	hypoxia_late:17%	-0.6307	0.485140063964144	679.01	239	366	464	3556	211	35.79	68.68
MT1288	MT1288	hypothetical protein	ctl_stationary:9%	-0.8197	0.637777947641761	659.67	493	225	210	2820	558	47.26	110.62
Rv2772c	Rv2772c	transmembrane protein	hypoxia_late:9%	-0.651	0.517156724005963	674.41	263	345	385	3503	264	75.57	147.49
ptrBa	Rv0781	protease II ptrBa	hypoxia_hypoxic:9%	-0.611	0.477066259318565	670.36	261	387	327	3682	221	100.21	188.83
MT3855	MT3855	hypothetical protein	ctl_exponential:12%	-0.5888	0.445899793813962	670.37	223	402	319	3784	228	174.93	321.13
Rv3717	Rv3717	hypothetical protein	tyloxopol:16%	-0.5381	0.483331619646287	617.27	657	844	780	280	619	180.49	259.5
PPE38	Rv2352c	PPE family protein PPE38	hypoxia_late:30%	-0.6628	0.488877511624986	693.52	200	347	562	3425	278	24.69	49.73
Rv0361	Rv0361	membrane protein	human_sputum:14%	-0.5338	0.477515811687445	615.2	649	854	704	283	674	309.93	442.63
glnA1	Rv2220	glutamine synthetase	tyloxopol:12%	-0.5359	0.476104687841242	620.73	618	843	720	262	765	534.28	760.17
mcr15	Rvnc0011	putative small regulatory RNA	human_sputum:12%	-0.554	0.516593000337239	608.18	697	805	694	259	681	207.11	302.32
vapC42	Rv2759c	ribonuclease VapC42	hypoxia_late:15%	-0.8054	0.615760260519428	661.86	392	230	374	2949	401	26.93	61.37
Rv2923c	Rv2923c	hypothetical protein	hypoxia_late:11%	-0.5626	0.524612334670272	603.29	718	784	711	238	672	123.08	180.73
mtn	Rv0091	bifunctional 5'-methylthioadenosine nucleosidase	hypoxia_late:20%; ctl_stationary:10%	-0.6002	0.564906047989034	604.56	767	728	734	187	756	34.91	53.64
Rv3747	Rv3747	hypothetical protein	ctl_exponential:16%	-0.5984	0.446118162942113	665.02	232	393	337	3738	207	273.96	507.64
Rv1749c	Rv1749c	integral membrane protein	ctl_exponential:9%	-0.6152	0.470415314914079	664.41	250	375	344	3631	222	113.75	213.68
Rv0686	Rv0686	membrane protein	INDIGO_exponential:8%	-0.5412	0.477943777083421	609.62	650	824	800	266	608	140.58	202.32
glnA4	Rv2860c	glutamine synthetase	hypoxia_late:11%; INDIGO_exponential:10%	-0.6047	0.445266673237243	666.29	226	388	369	3736	196	83.49	155.84
Rv1767	Rv1767	hypothetical protein	hypoxia_fatty_acids:18%	-0.8231	0.611426890993871	659.62	389	229	348	2916	437	26.71	62.41
Rv1366A	Rv1366A	hypothetical protein	hypoxia_late:15%	-0.5902	0.555159697987749	596.35	752	740	628	227	748	125.88	190.39
Rv1508A	Rv1508A	hypothetical protein	human_sputum:14%; ctl_stationary:12%	-0.7482	0.584342828609703	660.89	319	271	317	3135	417	36.33	79
atpG	Rv1309	ATP synthase subunit gamma	ctl_exponential:12%; INDIGO_exponential:12%; tyloxopol:11%	-0.5436	0.466856790384827	613.03	609	821	787	248	711	507.97	726.92
PE_PGRS52	Rv3388	PE-PGRS family protein PE_PGRS52	hypoxia_late:39%	-0.6351	0.454475652795917	674.53	194	372	468	3753	189	73.73	140.65
PPE25	Rv1787	PPE family protein PPE25	hypoxia_late:21%; human_sputum:10%	-0.5456	0.468084274563064	613.61	643	840	822	264	605	127.56	184.68
Rv1063c	Rv1063c	NTE family protein	hypoxia_late:13%	-0.5724	0.498304969606134	610.58	655	787	856	226	656	54.75	81.5
Rv0888	Rv0888	hypothetical protein	butyrate:10%	-0.6101	0.454742424435671	662.36	236	381	350	3603	227	40.72	76.93
Rv3433c	Rv3433c	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	hypoxia_late:35%	-0.5617	0.4929724446793	607.44	658	791	868	223	628	45.77	67.27
lprA	Rv1270c	lipoprotein LprA	hypoxia_late:8%	-0.5353	0.465052890636848	605.87	639	838	739	271	635	249.3	356.08
Rv2179c	Rv2179c	3'-5' exoribonuclease	hypoxia_late:14%; PBS_RIF_DDmtb:11%	-0.7079	0.574779435646032	643.48	331	300	262	3366	293	46.65	96.23
Rv0653c	Rv0653c	transcriptional regulator	high_iron:13%; tyloxopol:12%	-0.5415	0.464292532110248	602.28	627	831	727	257	668	420.59	602.27
plcA	Rv2351c	membrane-associated phospholipase A	ctl_stationary:14%; hypoxia_late:13%; human_sputum:11%	-0.5546	0.475508347813422	604.11	640	798	862	224	626	47.06	68.69
Rv0500B	Rv0500B	conserved hypothetical protein	acidic:19%; ctl_exponential:15%	-0.5404	0.468156757155705	596.61	653	826	718	269	607	1151	1651.2
Rv1930c	Rv1930c	hypothetical protein	hypoxia_late:52%	-0.8374	0.600906505289718	648.23	468	213	308	2604	506	13	32.02
PPE4	Rv0286	PPE family protein PPE4	microaerophilic:32%; low_iron:11%	-0.6435	0.459899312820268	665.34	153	363	264	3817	381	1231.82	2335.72
rpfC	Rv1884c	resuscitation-promoting factor RpfC	tyloxopol:15%; high_iron:14%; butyrate_plus_glucose:11%	-0.5396	0.458798854172977	599.1	629	834	708	260	660	476.84	681.75
aceE	Rv2241	pyruvate dehydrogenase E1 component	high_iron:10%	-0.6393	0.453906919937075	663.94	172	378	330	3812	268	197.92	377.16
fadE36	Rv3761c	acyl-CoA dehydrogenase FadE36	hypoxia_late:10%	-0.6536	0.477302564475384	662.59	240	364	394	3617	200	59.04	115.51
Rv2271	Rv2271	hypothetical protein	human_sputum:17%; ctl_exponential:16%; hypoxia_rar:10%	-0.5444	0.476912700124962	594.47	668	823	673	272	622	352.5	509.02
sseC2	Rv0814c	hypothetical protein	low_iron:10%	-0.6091	0.438612170850303	658.6	186	384	318	3806	242	876.29	1625.24
eccA3	Rv0282	ESX-3 secretion system protein EccA	microaerophilic:43%; zinc_limitation:17%	-0.5614	0.469307872740564	606.07	579	807	690	230	852	1698.1	2458.05
Rv2240c	Rv2240c	hypothetical protein	hypoxia_rar:11%; high_iron:10%	-0.6398	0.475137443522282	656.28	249	359	366	3676	185	140.81	269.05
atpA	Rv1308	ATP synthase subunit alpha	ctl_exponential:12%; INDIGO_exponential:11%	-0.5517	0.458017444840094	602.08	590	813	744	239	737	501.03	720.14
mmuM	Rv2458	homocysteine S-methyltransferase MmuM	hypoxia_late:23%	-0.6091	0.545343182265483	590.67	704	726	756	185	726	31.6	49.03
hns	Rv3852	histone-like protein Hns	hypoxia_hypoxic:10%	-0.5384	0.453890904322129	594.43	634	832	695	265	637	499.04	713.04
PE_PGRS27	Rv1450c	PE-PGRS family protein PE_PGRS27	hypoxia_late:51%	-0.5558	0.44306513525393	609.45	616	818	969	221	577	24.44	36.03
Rv1810	Rv1810	hypothetical protein	acidic:12%; acidic_tyloxopol:12%	-0.545	0.458704892605927	595.87	630	828	713	256	649	620.57	892.24
glbO	Rv2470	hemoglobin GlbO	INDIGO_exponential:9%	-0.5737	0.511971162497083	581.8	692	764	627	235	691	111.49	165.38
Rv2646	Rv2646	integrase	hypoxia_late:18%	-0.6609	0.488358825745798	651.01	254	349	334	3538	231	46.42	91.68
Rv2975c	Rv2975c	hypothetical protein	hypoxia_late:15%	-0.6576	0.501040978808168	639.88	278	343	250	3515	262	148.59	290.96
purL	Rv0803	phosphoribosylformylglycinamidine synthase 2	zinc_limitation:10%	-0.631	0.439490425379786	652.34	175	377	306	3802	253	181.35	342.41
vapC39	Rv2530c	ribonuclease VapC39	INDIGO_exponential:12%	-0.6698	0.496648457410246	647.5	259	342	305	3517	252	91.57	181.76
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	-0.5522	0.439798256710884	600.12	601	829	838	240	612	47.02	68.46
Rv0504c	Rv0504c	hypothetical protein	hypoxia_late:8%	-0.5602	0.477602873084413	586.9	661	809	683	251	625	160.96	235.77
MT2541	MT2541	hypothetical protein	hypoxia_fatty_acids:18%; ctl_stationary:10%	-0.6068	0.425021161064862	642.63	221	383	300	3729	194	126.59	235.81
PPE53	Rv3159c	PPE family protein PPE53	microaerophilic:24%; ctl_stationary:14%; nutrient_limitation:10%	-0.5456	0.449068364792818	590.55	633	822	764	246	593	60.92	88.17
Rv1056	Rv1056	hypothetical protein	hypoxia_late:8%	-0.6671	0.498526409554713	639.14	270	335	271	3409	283	36.98	73.91
fbpB	Rv1886c	diacylglycerol acyltransferase/mycolyltransferase Ag85B	tyloxopol:11%	-0.6292	0.436299879618509	646.09	168	373	251	3819	295	752.74	1414.45
Rv3831	Rv3831	hypothetical protein	butyrate_plus_glucose:41%; butyrate:13%	-0.5465	0.448886447986239	588.8	615	820	664	252	689	762.04	1094.35
MT1414.1	MT1414.1	hypothetical protein	acidic:26%; ctl_exponential:10%	-0.6785	0.510212806934431	629.43	283	309	230	3382	314	171.95	342.45
sseC1	Rv3118	hypothetical protein	low_iron:9%	-0.6204	0.417491996083789	639.05	184	380	274	3789	232	790.77	1481.54
PPE58	Rv3426	PPE family protein PPE58	nutrient_limitation:20%; hypoxia_rar:13%	-0.6715	0.47536599927969	642.68	216	323	388	3450	245	49.57	98.3
nadD	Rv2421c	nicotinate-nucleotide adenylyltransferase	hypoxia_late:10%	-0.5763	0.463721453801138	588.48	623	760	913	201	594	117.5	173.33
sepF	Rv2147c	cell division protein SepF	tyloxopol:11%; high_iron:10%	-0.5515	0.442833774917562	581.14	602	815	639	244	705	680.71	980.47
Rv3259	Rv3259	hypothetical protein	tyloxopol:17%; low_iron:13%	-0.6323	0.437642096932048	633.49	230	367	288	3658	198	175.87	334.16
pks15	Rv2947c	polyketide synthase	acidic:15%; ctl_exponential:12%	-0.6448	0.433502671090726	640.19	151	356	311	3790	261	377.34	716.15
Rv0760c	Rv0760c	hypothetical protein	tyloxopol:10%	-0.5689	0.45241880239547	579.86	625	777	801	220	595	203.88	299.09
MT2586.1	MT2586.1	hypothetical protein	hypoxia_late:15%	-0.7955	0.567344690446188	615.11	325	246	241	3134	353	36.03	81.11
Rv1490	Rv1490	membrane protein	hypoxia_late:13%; human_sputum:10%	-0.7002	0.491113841438992	636.23	224	301	420	3339	241	20.86	42.99
eccD2	Rv3887c	ESX-2 secretion system protein EccD	hypoxia_late:19%	-0.64	0.422079355727625	635.45	204	376	320	3724	181	78.4	150.8
mazE7	Rv2063	antitoxin MazE7	hypoxia_late:26%; ctl_stationary:11%	-0.8787	0.606811196404872	599.95	485	201	205	2887	332	47.61	113.98
Rv0492c	Rv0492c	GMC-type oxidoreductase	hypoxia_late:30%	-0.5574	0.424212990235379	575.41	611	806	783	228	564	79.92	116.11
rplD	Rv0702	50S ribosomal protein L4	butyrate_plus_glucose:10%	-0.5646	0.431574523427182	575.04	578	799	654	225	730	1229.39	1784.42
PE26	Rv2519	PE family protein PE26	zinc_limitation:8%	-0.639	0.412695977305258	630.09	183	362	328	3746	186	110.42	210.07
narU	Rv0267	nitrite extrusion protein NarU	PBS_RIF_DDmtb:11%	-0.5823	0.429445345651545	582.07	597	773	946	200	552	78.32	116.34
Rv0122	Rv0122	hypothetical protein	hypoxia_late:17%; hypoxia_hypoxic:15%	-0.7802	0.544864397566507	608.83	339	241	182	3019	441	30.64	68.66
MT0009	MT0009	hypothetical protein	ctl_stationary:12%; hypoxia_late:12%	-1.3382	0.786019561094264	507.89	1124	89	60	852	1075	4.53	24.75
amiB2	Rv1263	amidase AmiB	hypoxia_late:24%; ctl_stationary:12%	-0.8456	0.534895353623709	622.55	393	237	386	2595	359	5.98	15.63
rpoB	Rv0667	DNA-directed RNA polymerase subunit beta	PBS_RIF_DDmtb:20%; nutrient_limitation:18%	-0.6808	0.436775464648403	637.8	140	331	218	3771	403	1033.95	2012.43
MT3984	MT3984	hypothetical protein	microaerophilic:10%	-0.5488	0.410886733353081	561.81	595	814	637	254	596	1131.34	1631.29
PPE27	Rv1790	PPE family protein PPE27	hypoxia_late:29%; human_sputum:14%	-0.5735	0.425929554153468	571.82	605	802	751	233	575	116.04	171.83
moaX	Rv3323c	MoaD-MoaE fusion protein MoaX	hypoxia_late:13%; human_sputum:11%	-0.5853	0.466682179788879	558.91	644	756	666	207	632	84.41	126.31
eccC3	Rv0284	ESX-3 secretion system protein EccC3	microaerophilic:32%; zinc_limitation:13%; low_iron:11%	-0.5801	0.436080623644817	568.62	546	780	631	204	814	730.98	1073.5
fusA1	Rv0684	elongation factor G	INDIGO_exponential:9%	-0.6755	0.430762108676489	631.9	143	338	256	3770	322	787.85	1527.94
Rv2859c	Rv2859c	glutamine amidotransferase	hypoxia_late:16%	-0.6433	0.40083852278698	627.75	181	354	365	3672	177	91.15	174.54
Rv1358	Rv1358	transcriptional regulator	hypoxia_late:29%; ctl_stationary:13%; human_sputum:12%; PBS_RIF_DDmtb:10%	-0.6261	0.468829748359852	577.82	620	741	1064	120	600	10.87	17.49
Rv3850	Rv3850	hypothetical protein	acidic:12%	-0.5652	0.424375654220213	558.43	626	794	670	231	570	246.1	358.96
rplW	Rv0703	50S ribosomal protein L23	hypoxia_rar:10%	-0.6404	0.404394779908967	618.09	174	368	248	3785	215	851.93	1617.56
gcvH	Rv1826	glycine cleavage system protein H	acidic_tyloxopol:10%	-0.5609	0.415326037153113	558.17	606	803	643	236	598	455.51	662.09
Rv2650c	Rv2650c	prophage protein	microaerophilic:27%; PBS_RIF_DDmtb:11%; cholesterol:10%	-0.5987	0.444829397274007	570.43	610	753	876	181	587	44.86	68.14
pntAa	Rv0155	NAD(P) transhydrogenase subunit alpha PntAa	hypoxia_late:17%; tyloxopol:12%	-0.6546	0.405901551219787	620.62	165	352	321	3752	190	182.35	350.33
iniB	Rv0341	isoniazid inducible protein IniB	hypoxia_rar:23%; acidic:22%; hypoxia_hypoxic:12%; acidic_tyloxopol:11%	-0.5901	0.453537087234059	552.86	628	750	732	183	602	40.55	61.08
Rv3327	Rv3327	transposase fusion protein	hypoxia_late:18%; ctl_stationary:10%	-0.6968	0.446523279102228	622.06	207	336	307	3361	272	14.88	31.47
cmaA2	Rv0503c	cyclopropane mycolic acid synthase	acidic_tyloxopol:12%	-0.5744	0.413773219232017	559.75	589	788	731	217	585	212.98	313.18
Rv3528c	Rv3528c	hypothetical protein	hypoxia_late:12%; human_sputum:11%	-0.6129	0.478813107353885	552.08	659	734	675	186	630	64.97	99.93
Rv2466c	Rv2466c	hypothetical protein	hypoxia_fatty_acids:20%; ctl_stationary:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%; microaerophilic:10%	-0.643	0.400767093777595	612.65	198	355	283	3696	175	164.69	314.52
dacB1	Rv3330	penicillin-binding protein DacB	hypoxia_late:17%; tyloxopol:12%; high_iron:12%	-0.576	0.42232388806921	555.84	621	792	686	222	563	95.15	140.93
fbpC	Rv0129c	diacylglycerol acyltransferase/mycolyltransferase Ag85C	hypoxia_hypoxic:13%; tyloxopol:11%; hypoxia_rar:10%	-0.5733	0.412703165562304	558.11	572	789	659	212	670	495.58	724.86
ilvN	Rv3002c	acetolactate synthase small subunit	hypoxia_rar:11%	-0.5821	0.434819558362262	554.61	617	759	749	197	574	161.49	239.27
pks11	Rv1665	chalcone synthase	hypoxia_late:11%	-0.6626	0.408768937823798	618.4	187	339	368	3660	158	94.03	182.18
Rv2267c	Rv2267c	hypothetical protein	hypoxia_late:26%; ctl_stationary:11%	-0.8897	0.529507992516301	607.86	403	218	411	2533	318	7.84	20.63
PPE65	Rv3621c	PPE family protein PPE65	hypoxia_late:43%	-0.7213	0.451407155763169	622.2	192	287	472	3354	204	26.63	55.18
mmaA4	Rv0642c	hydroxymycolate synthase MmaA4	tyloxopol:8%	-0.5745	0.409829038743808	554.1	577	790	642	216	652	454.11	665.36
PPE40	Rv2356c	PPE family protein	human_sputum:11%	-0.5803	0.407766979626983	559.17	554	774	794	196	610	167.67	246.85
rpiB	Rv2465c	ribose-5-phosphate isomerase B	hypoxia_hypoxic:9%	-0.5736	0.416298973082104	550.42	608	770	719	211	555	235.66	345.62
lprK	Rv0173	Mce family lipoprotein LprK	butyrate_plus_glucose:16%	-0.5839	0.406748172919165	559.41	548	763	827	188	613	290.9	428.22
Rv2886c	Rv2886c	resolvase	hypoxia_late:24%; human_sputum:13%	-0.7074	0.441695934321641	614.83	188	299	409	3473	191	48.8	99.08
Rv0880	Rv0880	HTH-type transcriptional regulator	hypoxia_late:12%; ctl_stationary:10%	-0.6961	0.466288038474259	600	251	312	219	3466	234	82.83	167.19
espG3	Rv0289	ESX-3 secretion-associated protein EspG3	microaerophilic:27%; zinc_limitation:13%; cholesterol:13%	-0.694	0.415849702158497	621.97	133	322	213	3756	374	2973.38	5837.51
whiB2	Rv3260c	transcriptional regulator WhiB2	tyloxopol:12%; low_iron:10%	-0.5785	0.408900852423094	551.03	580	781	676	215	609	999.29	1470.01
Rv1065	Rv1065	hypothetical protein	acidic_tyloxopol:14%; zinc_limitation:12%	-0.5792	0.408976008580893	550.95	558	779	652	206	673	1032.56	1515.73
Rv1590	Rv1590	hypothetical protein	zinc_limitation:15%	-0.662	0.41639238800485	601.74	206	341	242	3566	212	226.16	440.85
thyX	Rv2754c	thymidylate synthase ThyX	hypoxia_late:28%	-0.7375	0.482810643643627	596.42	248	277	265	3292	258	31.52	66.59
mtr	Rv2855	mycothione reductase	hypoxia_late:11%; tyloxopol:10%	-0.5849	0.423948931725746	544.69	607	752	738	178	582	52.59	78.45
fdxB	Rv3554	electron transfer protein FdxB	human_sputum:17%; hypoxia_late:13%	-0.5808	0.398901433877955	552.29	564	761	852	179	557	102.31	150.5
glyU	Rvnt04	tRNA-Gly	hypoxia_late:32%; hypoxia_hypoxic:28%	-1.0093	0.704828634997605	476.91	603	149	117	1410	579	42.84	120.32
pntB	Rv0157	NAD(P) transhydrogenase subunit beta PntB	tyloxopol:10%	-0.5804	0.4053447942695	549.43	566	783	641	209	658	302.25	445.54
Rv3472	Rv3472	hypothetical protein	hypoxia_late:14%	-0.8232	0.518284482347724	590.39	285	235	304	3179	239	38.84	88.14
htpG	Rv2299c	chaperone protein HtpG	tyloxopol:8%	-0.5804	0.403158990396758	549.1	570	782	662	205	639	203	299.16
Rv3693	Rv3693	membrane protein	hypoxia_late:14%	-0.5857	0.403246846962888	551.43	582	766	799	193	550	114.5	169.98
Rv1812c	Rv1812c	dehydrogenase	microaerophilic:14%; PBS_RIF_DDmtb:12%; ctl_stationary:12%	-0.5851	0.407944356485882	546.04	594	768	733	203	549	102.86	152.97
Rv3033	Rv3033	hypothetical protein	hypoxia_late:12%	-0.7379	0.473662435307876	595.83	219	281	268	3317	273	42.93	90.79
vapC43	Rv2872	ribonuclease VapC43	ctl_stationary:19%; hypoxia_late:10%; PBS_RIF_DDmtb:10%	-0.6596	0.49816286116989	543.95	624	643	834	133	669	64.91	103.91
Rv3466	Rv3466	hypothetical protein	hypoxia_late:16%; ctl_stationary:11%	-0.7652	0.441621737497099	611.55	155	257	441	3133	331	22.28	49.13
hupB	Rv2986c	DNA-binding protein HU	hypoxia_hypoxic:12%; hypoxia_rar:11%	-0.5867	0.40749147810766	544.96	532	767	634	192	725	1828.63	2697.12
MT3532.1	MT3532.1	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:13%; human_sputum:13%; ctl_stationary:10%	-1.3956	0.743863718203019	465.38	1050	80	137	640	871	1.46	12.71
Rv1352	Rv1352	hypothetical protein	acidic:26%	-0.5849	0.41951130363122	535.31	614	754	621	208	581	211.25	313.62
Rv1697	Rv1697	hypothetical protein	high_iron:14%; INDIGO_exponential:13%; tyloxopol:11%	-0.6583	0.385906695254512	596.06	157	351	232	3761	203	210.21	404.89
cmaA1	Rv3392c	cyclopropane mycolic acid synthase CmaA	hypoxia_late:12%; tyloxopol:10%	-0.626	0.442461373701708	545.4	584	691	864	146	617	45.1	69.98
Rv1066	Rv1066	hypothetical protein	microaerophilic:13%; hypoxia_late:11%	-0.5766	0.395957296641412	535.64	592	778	618	213	578	482.68	708.81
MT1040.1	MT1040.1	hypothetical protein	hypoxia_hypoxic:10%	-0.7226	0.454428816543857	593.52	212	291	303	3460	195	135.22	275.57
whiB7	Rv3197A	transcriptional regulator WhiB7	nutrient_limitation:15%; PBS_RIF_DDmtb:12%	-0.8546	0.517670944937152	579.25	353	206	187	2794	427	32.17	76.73
Rv1944c	Rv1944c	hypothetical protein	hypoxia_late:15%	-0.7712	0.478124618770271	582.81	242	258	278	3255	236	38.09	82.27
yidC	Rv3921c	membrane protein insertase YidC	high_iron:10%	-0.5817	0.389050301409789	534.71	573	769	685	198	562	174.48	257.57
canA	Rv1284	beta-carbonic anhydrase	acidic_tyloxopol:18%	-0.6648	0.382673757310856	593.73	169	346	261	3721	171	273.67	531.16
PE_PGRS9	Rv0746	PE-PGRS family protein PE_PGRS9	hypoxia_late:40%	-0.7122	0.383325058859015	611.78	137	308	479	3669	143	67.1	134.95
Rv3026c	Rv3026c	hypothetical protein	hypoxia_late:32%; ctl_stationary:10%	-0.8216	0.492258352406366	576.89	288	236	252	2990	296	14.72	34.59
Rv3726	Rv3726	dehydrogenase	butyrate_plus_glucose:8%	-0.6202	0.423696632874996	536.9	588	711	833	150	568	49.9	76.88
Rv0315	Rv0315	beta-1,3-glucanase	tyloxopol:12%	-0.5895	0.394937998016999	533.42	552	771	612	195	651	535.31	794.2
Rv3524	Rv3524	membrane protein	zinc_limitation:16%	-0.5811	0.38454911992193	530.22	557	765	668	191	586	231.04	340.02
mazF8	Rv2274c	toxin MazF8	hypoxia_late:16%	-1.1422	0.692074627665138	462.89	979	121	163	725	655	5.31	20.76
PE_PGRS4	Rv0279c	PE-PGRS family protein PE_PGRS4	microaerophilic:40%; hypoxia_late:15%	-0.77	0.443279117284184	590.57	203	294	360	3332	180	12.71	28.6
Rv1729c	Rv1729c	S-adenosylmethionine-dependent methyltransferase	hypoxia_late:13%	-0.613	0.427737574643966	527.34	600	716	737	160	565	62.31	95.02
ppiB	Rv2582	peptidyl-prolyl cis-trans isomerase B	tyloxopol:11%	-0.698	0.393757480304111	595.96	167	316	356	3572	162	75.31	150.72
glnQ	Rv2564	glutamine ABC transporter ATP-binding protein	hypoxia_late:11%	-0.6054	0.386399266179099	538.21	560	738	844	172	529	132.03	199.02
bfrA	Rv1876	bacterioferritin BfrA	hypoxia_hypoxic:10%	-0.6111	0.434649883577003	519.41	612	709	581	177	634	95.7	145.98
Rv2025c	Rv2025c	cation efflux system protein	butyrate:26%; ctl_stationary:17%; hypoxia_late:16%; hypoxia_fatty_acids:12%	-0.8246	0.482577963928107	573.72	279	239	257	3040	270	14.78	34.78
PE_PGRS3	Rv0278c	PE-PGRS family protein PE_PGRS3	microaerophilic:30%; hypoxia_late:29%	-0.5906	0.37789623433894	532.63	565	762	766	174	536	48.82	73.02
eccE1	Rv3882c	ESX-1 secretion system protein EccE1	high_iron:9%	-0.681	0.378901597874281	587.73	147	337	258	3734	184	153.98	302.47
Rv1433	Rv1433	hypothetical protein	tyloxopol:10%	-0.6786	0.377452847768745	587.65	161	326	299	3692	154	159.56	311.48
pyrG	Rv1699	CTP synthase	hypoxia_hypoxic:8%	-0.5969	0.387449448036785	527.62	547	751	729	176	566	140.73	210.17
rpsD	Rv3458c	30S ribosomal protein S4	tyloxopol:10%	-0.5924	0.384481062871292	522.3	537	757	615	184	636	795.48	1178.9
Rv0192A	Rv0192A	conserved secreted protein	acidic:11%; hypoxia_late:10%	-0.6679	0.367789911708256	579.53	164	340	227	3723	170	508.11	984.68
ripB	Rv1478	peptidoglycan endopeptidase RipB	tyloxopol:15%; high_iron:14%	-0.6152	0.409253221123195	521.22	587	719	702	171	554	99.46	151.71
mycP2	Rv3886c	membrane-anchored mycosin	hypoxia_late:12%	-0.5966	0.380012574454512	521.53	575	747	728	164	533	81.27	121.68
dprE1	Rv3790	decaprenylphosphoryl-beta-D-ribose oxidase	hypoxia_late:10%	-0.6888	0.374573213154417	582.26	163	330	290	3668	147	77.61	154.08
proC	Rv0500	pyrroline-5-carboxylate reductase	hypoxia_late:10%	-0.6852	0.37649675221881	581.58	170	328	276	3654	153	115.46	228.2
fadD10	Rv0099	fatty-acid--CoA ligase FadD10	PBS_RIF_DDmtb:14%; hypoxia_late:13%	-0.5957	0.369759392531729	525.57	542	736	837	158	516	84.79	126.26
Rv2541	Rv2541	hypothetical protein	hypoxia_late:43%	-0.8102	0.46147580292269	565.58	213	243	266	3215	247	48.76	109.27
pepA	Rv0125	serine protease PepA	hypoxia_rar:9%	-0.5924	0.376759265518484	514.9	534	758	584	182	633	438.41	650.18
tagA	Rv1210	DNA-3-methyladenine glycosylase I TagA	zinc_limitation:14%	-0.6157	0.407108397790719	512.4	591	722	646	161	571	102.83	157.17
cobM	Rv2071c	precorrin-4 C(11)-methyltransferase	hypoxia_late:23%; PBS_RIF_DDmtb:11%	-0.7716	0.443553446658641	563.73	211	265	246	3271	226	31.73	68.95
Rv2980	Rv2980	hypothetical protein	hypoxia_late:32%	-0.6583	0.475580150040801	500.61	665	647	566	126	657	51.78	82.73
Rv1543	Rv1543	oxidoreductase	human_sputum:7%	-0.6058	0.380012163262189	517.46	538	744	692	168	576	266.73	401.01
MT3449.2	MT3449.2	hypothetical protein	hypoxia_late:40%; ctl_stationary:12%	-1.5721	0.721222247145539	435	976	60	102	680	848	5.54	37.05
leuU	Rvnt22	tRNA-Leu	hypoxia_late:34%	-1.0511	0.651592564457923	460.02	511	151	114	1944	309	76.18	211.11
fadD16	Rv0852	hypothetical protein	hypoxia_late:11%	-0.8328	0.448045535883251	572.79	190	232	396	3108	225	22.91	52.77
Rv1592c	Rv1592c	hypothetical protein	ctl_stationary:13%	-0.6827	0.368112845163178	574.78	148	332	240	3725	168	136.92	269.15
ogt	Rv1316c	methylated-DNA--protein-cysteine methyltransferase	nutrient_limitation:22%; ctl_stationary:12%; PBS_RIF_DDmtb:10%	-0.7443	0.423236873505614	564.8	201	290	234	3457	183	87.53	182.82
MT2501	MT2501	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:25%	-1.7605	0.745549743354225	421.55	1104	45	52	714	829	0	10.78
mas	Rv2940c	multifunctional mycocerosic acid synthase	zinc_limitation:11%; hypoxia_rar:11%	-0.6151	0.385170787474392	515.64	497	729	578	152	777	546.66	822.64
ripA	Rv1477	peptidoglycan endopeptidase RipA	high_iron:14%; tyloxopol:13%; hypoxia_hypoxic:11%; INDIGO_exponential:11%	-0.5923	0.371575331712972	510.46	551	755	597	180	584	180.25	267.97
